,ts_code,symbol,name,area,industry,list_date,pe,pe_ttm,pb,total_mv,circ_mv
3375,603377.SH,603377,东方时尚,北京,汽车服务,20160205,62.2581,62.249,8.1243,1390032.0,1390032.0
3376,603378.SH,603378,亚士创能,上海,染料涂料,20170928,53.5656,36.2984,2.3492,314602.0,111402.7
3377,603379.SH,603379,三美股份,浙江,化工原料,20190402,13.8645,17.9555,3.1189,1535790.8345,210382.3062
3378,603380.SH,603380,易德龙,江苏,元器件,20170622,26.4805,24.9822,3.3294,268960.0,80511.1588
3379,603383.SH,603383,顶点软件,福建,软件服务,20170522,69.8371,68.9965,8.0115,836489.2704,408601.9728
3380,603385.SH,603385,惠达卫浴,河北,家居用品,20170405,15.6528,14.0899,1.14,373829.2013,266891.6501
3381,603386.SH,603386,广东骏亚,广东,元器件,20170912,56.3831,152.7714,3.8747,389011.0202,97424.325
3382,603387.SH,603387,基蛋生物,江苏,生物制药,20170717,24.7537,23.034,4.1642,617881.9085,306752.2616
3383,603388.SH,603388,元成股份,浙江,建筑工程,20170324,15.3843,14.4446,2.1184,208266.9785,88093.2653
3384,603389.SH,603389,亚振家居,江苏,家居用品,20161215,,,2.2864,168686.784,48504.384
3385,603393.SH,603393,新天然气,新疆,供气供热,20160912,19.4495,13.5667,2.7274,650720.0,650720.0
3386,603396.SH,603396,金辰股份,辽宁,专用机械,20171018,22.4159,26.497,2.0746,190085.4632,79421.7251
3387,603398.SH,603398,邦宝益智,广东,文教休闲,20151209,71.9656,41.5468,4.1756,303199.6044,303199.6044
3388,603399.SH,603399,吉翔股份,辽宁,小金属,20120824,30.8553,,2.5008,588303.6983,546662.4983
3389,603416.SH,603416,信捷电气,江苏,电气设备,20161221,26.196,24.422,3.3719,389351.2,97337.8
3390,603421.SH,603421,鼎信通讯,山东,通信设备,20161011,36.1725,46.4227,2.4743,737654.4998,729899.195
3391,603429.SH,603429,集友股份,安徽,广告包装,20170124,81.1665,66.6845,8.733,936739.7776,446526.08
